msa,zip,county_fips,state,res_ratio
pittsburgh,16250,42005,PA,0.0034095406252853968
pittsburgh,16236,42005,PA,0.0032268866632165364
pittsburgh,16244,42005,PA,0.0027093671040214315
pittsburgh,16245,42005,PA,0.0024658284879296175
pittsburgh,16253,42005,PA,0.0019787512557459894
pittsburgh,15732,42005,PA,0.0019178666017230356
pittsburgh,16224,42005,PA,0.0007306158482754422
pittsburgh,15681,42129,PA,0.0056009503297288895
pittsburgh,15010,42007,PA,0.15966038993118187
pittsburgh,15009,42007,PA,0.09169242081317999
pittsburgh,15061,42007,PA,0.07592973426316334
pittsburgh,15066,42007,PA,0.07373536609184178
pittsburgh,15074,42007,PA,0.05022920232993647
pittsburgh,15042,42007,PA,0.04512815799450833
pittsburgh,16117,42073,PA,0.1352302021345797
pittsburgh,15059,42007,PA,0.02570053193322687
pittsburgh,16115,42007,PA,0.017508990016199263
pittsburgh,15052,42007,PA,0.017566434209165795
pittsburgh,15027,42007,PA,0.012787077354350248
pittsburgh,15050,42007,PA,0.012143702393125079
pittsburgh,15043,42007,PA,0.011063751565354258
pittsburgh,16123,42007,PA,0.010466331958502315
pittsburgh,16136,42007,PA,0.005491664847600556
pittsburgh,16141,42073,PA,0.012070253210301876
pittsburgh,15081,42007,PA,0.0032743189990923818
pittsburgh,16157,42073,PA,0.029633555785771076
pittsburgh,16063,42019,PA,0.045279523789701535
pittsburgh,16120,42073,PA,0.021080781554918448
pittsburgh,15077,42007,PA,0.0012867499224503394
pittsburgh,16037,42019,PA,0.03180285559671981
pittsburgh,15021,42125,PA,0.032055185537583256
pittsburgh,16066,42019,PA,0.17128376972068435
pittsburgh,15019,42125,PA,0.007507136060894386
pittsburgh,16001,42019,PA,0.2156787245556342
pittsburgh,16002,42019,PA,0.06974566040877492
pittsburgh,16057,42019,PA,0.056841360362985476
pittsburgh,16033,42019,PA,0.03665237480747617
pittsburgh,16056,42019,PA,0.023175706614494442
pittsburgh,16023,42019,PA,0.020293052491362443
pittsburgh,16053,42019,PA,0.01986637805436457
pittsburgh,16061,42019,PA,0.01259209923823003
pittsburgh,16052,42019,PA,0.011541023186113308
pittsburgh,16003,42019,PA,0.010073679390584024
pittsburgh,16051,42073,PA,0.012720745898282218
pittsburgh,16038,42019,PA,0.010156932939266537
pittsburgh,16034,42019,PA,0.008262914706739375
pittsburgh,16045,42019,PA,0.007066144944428256
pittsburgh,16050,42019,PA,0.006774757524039462
pittsburgh,16020,42019,PA,0.005494734213045831
pittsburgh,16040,42019,PA,0.0047870790492444745
pittsburgh,16029,42019,PA,0.0026224867834991465
pittsburgh,16022,42019,PA,0.0019460517004537318
pittsburgh,16373,42019,PA,0.001394496940432086
pittsburgh,16024,42019,PA,0.0014465304083586563
pittsburgh,16127,42019,PA,0.0011863630687258045
pittsburgh,16027,42019,PA,0.0011031095200432918
pittsburgh,16030,42019,PA,0.0008637555675810681
pittsburgh,16048,42019,PA,0.0004995212920950755
pittsburgh,16035,42019,PA,0.00041626774341256296
pittsburgh,15401,42051,PA,0.271125015487548
pittsburgh,15425,42051,PA,0.1489127741295998
pittsburgh,15478,42051,PA,0.04492937678106802
pittsburgh,15417,42051,PA,0.040763226366001735
pittsburgh,15431,42051,PA,0.035729773262297114
pittsburgh,15461,42051,PA,0.03267872630405154
pittsburgh,15473,42051,PA,0.028404163052905464
pittsburgh,15456,42051,PA,0.02007186222277289
pittsburgh,15445,42051,PA,0.02084623962334283
pittsburgh,15436,42051,PA,0.020536488663114857
pittsburgh,15437,42051,PA,0.017578366992937678
pittsburgh,15442,42051,PA,0.017330566224755296
pittsburgh,15474,42051,PA,0.016184487671911784
pittsburgh,15458,42051,PA,0.015890224259695204
pittsburgh,15486,42051,PA,0.013768430182133565
pittsburgh,15438,42051,PA,0.015193284599182257
pittsburgh,15469,42051,PA,0.014868046090942883
pittsburgh,15480,42051,PA,0.013505141865939785
pittsburgh,15666,42129,PA,0.04018917778715279
pittsburgh,15610,42051,PA,0.013458679221905587
pittsburgh,15468,42051,PA,0.012916615041506629
pittsburgh,15459,42051,PA,0.011553710816503531
pittsburgh,15428,42051,PA,0.012281625573039277
pittsburgh,15464,42051,PA,0.009493866930987487
pittsburgh,15622,42051,PA,0.009013752942634122
pittsburgh,15631,42051,PA,0.008471688762235164
pittsburgh,15683,42129,PA,0.020499811266292158
pittsburgh,15451,42051,PA,0.0073101226613802505
