msa,name,name_norm,tier,entity_type,ls_subcategory,city,state,zip,source_form_d,source_sbir,source_nih,source_tto,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,year_incorp,industry,tagline,tto_source_name,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year,tto_location,url
philadelphia,"Aqru Research and Technology, LLC",aqru research and technology,grant_only_company,startup,unknown,Doylestown,PA,18901,False,True,False,False,0.0,1.0,149958.0,0.0,0.0,,,,,,,078791740,http://aqru-llc.com,1,2015,2015,,
philadelphia,Arkline Research,arkline research,grant_only_company,startup,unknown,Cherry Hill,NJ,08034,False,True,False,False,0.0,0.0,54012.0,0.0,0.0,,,,,,,,,1,1988,1988,,
philadelphia,At Biochem,at biochem,grant_only_company,startup,unknown,Malvern,PA,19355,False,True,False,False,0.0,0.0,49996.0,0.0,0.0,,,,,,,,,,1992,1992,,
philadelphia,"Athena Biotechnologies, Inc.",athena biotechnologies,grant_only_company,startup,biotech,Newark,DE,19711,False,True,False,False,0.0,1.0,99562.0,0.0,0.0,,,,,,,787237689,,11,2008,2008,,
philadelphia,Atlantex Corp.,atlantex,grant_only_company,startup,unknown,Newark,NJ,07102,False,True,False,False,0.0,0.0,50000.0,0.0,0.0,,,,,,,,,,1993,1993,,
philadelphia,"August Design, Inc.",august design,grant_only_company,startup,unknown,Ardmore,PA,19003,False,True,False,False,0.0,1.0,964000.0,0.0,0.0,,,,,,,15-091-79,www.august-design.com,24,1986,1999,,
philadelphia,"Avid Therapeutics, Inc.",avid therapeutics,grant_only_company,startup,pharma,Philadelphia,PA,19104,False,True,False,False,0.0,0.0,149410.0,0.0,0.0,,,,,,,,,,1993,1998,,
philadelphia,Aware Electronics Corp.,aware electronics,grant_only_company,startup,unknown,Wilmington,DE,19807,False,True,False,False,0.0,0.0,49999.0,0.0,0.0,,,,,,,,,,1997,1997,,
philadelphia,Axonova Medical LLC ,axonova medical,grant_only_company,startup,unknown,Philadelphia,PA,19146-2701,False,True,True,False,0.0,4.0,5259492.0,6.0,3674858.0,,,,,,DLUMA6JAZ1K4,079858848,,1,2018,2024,,
philadelphia,Azavea Inc.,azavea,grant_only_company,startup,unknown,Philadelphia,PA,19123-2606,False,True,True,False,0.0,24.0,9747804.0,1.0,150000.0,,,,,,KLHHTM7TUWJ3,093014574,https://www.azavea.com/,48,2006,2021,,
