msa,name,name_norm,tier,city,state,zip,source_form_d,source_sbir,source_nih,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,year_incorp,entity_type,industry,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year
atlanta,Metalforming Inc.,metalforming,confirmed_grant,Peachtree City,GA,30269,False,True,False,0.0,1.0,150000.0,0.0,0.0,,,,,VDU6DUBHJYW5,011662694,http://www.metalforming-usa.com/,31,2013,2013
atlanta,"Microbial Medical, Inc.",microbial medical,confirmed_grant,Lithia Springs,GA,30122-1546,False,True,False,0.0,4.0,1936677.0,0.0,0.0,,,,,S2BNW6NL62E7,079111976,,2,2015,2022
atlanta,Millennium Dynamics Corporation,millennium dynamics,confirmed_grant,Acworth,GA,30101,False,True,False,0.0,4.0,1049852.0,0.0,0.0,,,,,,141872783,,2,2004,2009
atlanta,"Millimeter Wave Technology,",millimeter wave technology,confirmed_grant,Marietta,GA,30062,False,True,False,0.0,1.0,2433430.0,0.0,0.0,,,,,,,,25,1983,1998
atlanta,Mirmar-quantum Joint Venture,mirmar quantum joint venture,confirmed_grant,Woodstock,GA,30169 0155,False,True,False,0.0,1.0,99811.0,0.0,0.0,,,,,,,,9,2006,2006
atlanta,Mountain Creek Enterprises,mountain creek enterprises,confirmed_grant,Monroe,GA,30655,False,True,False,0.0,2.0,140000.0,0.0,0.0,,,,,Q46DFGK3H5K6,800336658,,,2009,2009
atlanta,"NAECO, LLC",naeco,confirmed_grant,Peachtree City,GA,30269-1984,False,True,False,0.0,3.0,1699789.0,0.0,0.0,,,,,FDJKVWKJYN81,133065495,https://naeco.net/,34,2019,2022
atlanta,"NALARI SCIENTIFIC, LLC",nalari scientific,confirmed_grant,ATLANTA,GA,30342-2019,False,True,False,0.0,1.0,198271.84,0.0,0.0,,,,,KU8BVJMU5T43,,,3,2024,2024
atlanta,NANO ENGINEERED MATERIALS CORP.,nano engineered materials,confirmed_grant,Lawrenceville,GA,30043,False,True,False,0.0,3.0,999931.0,0.0,0.0,,,,,,809880235,,2,2008,2010
atlanta,NANORESEARCH INC,nanoresearch,confirmed_grant,ATLANTA,GA,30303-2921,False,True,False,0.0,1.0,256000.0,0.0,0.0,,,,,KFY4L2CYXVH3,611733150,https://www.nanoresearchinc.us,5,2022,2022
atlanta,NDP OPTRONICS LLC,ndp optronics,confirmed_grant,MABLETON,GA,30126-1965,False,True,False,0.0,6.0,1863730.0,0.0,0.0,,,,,,118500516,,,2004,2010
atlanta,"NET SHAPE COMPONENTS, INC.",net shape components,confirmed_grant,Alpharetta,GA,30004,False,True,False,0.0,1.0,669042.0,0.0,0.0,,,,,,931819254,,3,1998,2000
atlanta,"NEUROP, INC.",neurop,confirmed_grant,ATLANTA,GA,30303-2921,False,True,True,0.0,10.0,12737132.0,7.0,4364926.0,,,,,ZTVMGH5HG328,148559987,,,2004,2018
atlanta,"NEXIDIA, INC.",nexidia,confirmed_grant,Atlanta,GA,30305,False,True,False,0.0,3.0,399782.0,0.0,0.0,,,,,,,http://,0,2004,2005
atlanta,"NUHORIZON TECHNOLOGIES, LLC",nuhorizon technologies,confirmed_grant,ATLANTA,GA,30342-3518,False,True,False,0.0,2.0,1149559.82,0.0,0.0,,,,,U6BJG1KKRKX9,,,3,2018,2019
atlanta,NUMERICAL TECHNOLOGY CO.,numerical technology,confirmed_grant,Roswell,GA,30076,False,True,False,0.0,3.0,399182.0,0.0,0.0,,,,,,153339671,,1,2009,2011
