msa,name,name_norm,tier,city,state,zip,source_form_d,source_sbir,source_nih,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,year_incorp,entity_type,industry,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year
philadelphia,"PlantGenix, Inc.",plantgenix,confirmed_grant,Philadelphia,PA,19104,False,True,False,0.0,1.0,98682.0,0.0,0.0,,,,,,,,10,2003,2003
philadelphia,Plasmatron Inc,plasmatron,confirmed_grant,Dresher,PA,19025,False,True,False,0.0,0.0,149962.0,0.0,0.0,,,,,,,,,1988,1991
philadelphia,PolyAurum LLC ,polyaurum,confirmed_grant,Philadelphia,PA,19146-2701,False,True,False,0.0,1.0,223028.0,0.0,0.0,,,,,CPNFRNCNJC85,079898975,,1,2017,2017
philadelphia,Polymer Phases Inc.,polymer phases,confirmed_grant,Oreland,PA,19075 1005,False,True,False,0.0,1.0,100000.0,0.0,0.0,,,,,,948375381,,2,2009,2009
philadelphia,"Polyprobe, Inc.",polyprobe,confirmed_grant,Media,PA,19063,False,True,False,0.0,0.0,402416.0,0.0,0.0,,,,,,,,,1993,1996
philadelphia,Polysciences Inc,polysciences,confirmed_grant,Warrington,PA,18976,False,True,False,0.0,0.0,190000.0,0.0,0.0,,,,,,,,,1984,1986
philadelphia,Praxis International Inc,praxis international,confirmed_grant,Exton,PA,19341,False,True,False,0.0,0.0,49698.0,0.0,0.0,,,,,,,,3,1989,1989
philadelphia,Praxis Technologies Corp,praxis technologies,confirmed_grant,Woodbury,NJ,08096,False,True,False,0.0,0.0,1367076.0,0.0,0.0,,,,,,,,12,1990,1994
philadelphia,"PreGentis, Inc.",pregentis,confirmed_grant,Newtown,PA,08940,False,True,False,0.0,2.0,312279.0,0.0,0.0,,,,,,,,,2004,2004
philadelphia,"Predictive Cyber Protection, LLC",predictive cyber protection,confirmed_grant,Philadelphia,PA,19146,False,True,False,0.0,1.0,74958.0,0.0,0.0,,,,,SBJRZDUA2AN5,,,1,2019,2019
philadelphia,Prime Synthesis,prime synthesis,confirmed_grant,Aston,PA,19014-,False,True,False,0.0,2.0,187815.0,0.0,0.0,,,,,,621944941,,14,2009,2013
philadelphia,Princeton Optronics,princeton optronics,confirmed_grant,Trenton,NJ,08619-2054,False,True,False,0.0,47.0,30855063.0,0.0,0.0,,,,,YTAXELQE3LT9,602750358,www.princetonoptronics.com,4,1992,2017
philadelphia,Prodigy Biotech Inc.,prodigy biotech,confirmed_grant,West Chester,PA,19382,False,True,True,0.0,1.0,314363.0,1.0,314363.0,,,,,DEBLQM279JD6,,www.prodigybiotech.com,1,2025,2025
philadelphia,"Prohibix, LLC",prohibix,confirmed_grant,Philadelphia,PA,19104,False,True,True,0.0,3.0,2573820.0,7.0,2605786.0,,,,,CR32V2NQ3927,079301959,,1,2018,2021
philadelphia,"PromptWorks, LLC",promptworks,confirmed_grant,Philadelphia,PA,19109-1029,False,True,True,0.0,1.0,883830.0,1.0,434131.0,,,,,SPM3FKBS8DX4,060170076,http://www.promptworks.com,30,2019,2019
philadelphia,Propulsion Science & Technology Inc,propulsion science technology,confirmed_grant,LANGHORNE,PA,19047-2859,False,True,False,0.0,28.0,13651543.02,0.0,0.0,,,,,M84FHMKFVBA5,165115390,www.propulsionscience.com,4,1989,2021
philadelphia,Puratec LLC,puratec,confirmed_grant,Newtown Square,PA,19073-1129,False,True,False,0.0,1.0,150000.0,0.0,0.0,,,,,,079581438,,1,2015,2015
