msa,name,name_norm,tier,entity_type,ls_subcategory,city,state,zip,source_form_d,source_sbir,source_nih,source_tto,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,year_incorp,industry,tagline,tto_source_name,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year,tto_location,url
atlanta,American Software Safety Reliability Ltd.Co,american software safety reliability,grant_only_company,startup,digital_health,Atlanta,GA,30338-7723,False,True,False,False,0.0,1.0,150000.0,0.0,0.0,,,,,,,079824577,www.assrc.us,10,2016,2016,,
atlanta,"Annoviant, Inc.",annoviant,grant_only_company,startup,unknown,Alpharetta,GA,30022-6137,False,True,True,False,0.0,4.0,4656269.0,7.0,4656269.0,,,,,,D9WMZ24BAKL5,081242296,,2,2019,2024,,
atlanta,Antech Inc.,antech,grant_only_company,startup,unknown,Roswell,GA,30075,False,True,False,False,0.0,0.0,166025.0,0.0,0.0,,,,,,,,,5,1987,1991,,
atlanta,"Applied Ceramics, Inc.",applied ceramics,grant_only_company,startup,unknown,Atlanta,GA,30340,False,True,False,False,0.0,1.0,100000.0,0.0,0.0,,,,,,,,,,2000,2000,,
atlanta,"Apyron Technologies, Inc.",apyron technologies,grant_only_company,startup,unknown,Atlanta,GA,30340,False,True,False,False,0.0,1.0,100000.0,0.0,0.0,,,,,,,,,,2001,2001,,
atlanta,Aqua Resources Corporation,aqua resources,grant_only_company,startup,unknown,Woodstock,GA,-,False,True,False,False,0.0,2.0,2410736.0,0.0,0.0,,,,,,G7JPBQ289T34,023541209,,1,2010,2012,,
atlanta,"Area I, Inc.",area i,grant_only_company,startup,unknown,MARIETTA,GA,30066-5806,False,True,False,False,0.0,18.0,10174621.0,0.0,0.0,,,,,,QRCBC4P1JAB5,829299747,https://www.areai.com,100,2009,2018,,
atlanta,"Argos Intelligence, LLC",argos intelligence,grant_only_company,startup,unknown,Atlanta,GA,30328-5788,False,True,False,False,0.0,7.0,2734978.1,0.0,0.0,,,,,,S3STKZEN4MN1,827943692,,3,2009,2017,,
atlanta,Artificial Intelligence,artificial intelligence,grant_only_company,startup,unknown,Decatur,GA,30030,False,True,False,False,0.0,0.0,379187.0,0.0,0.0,,,,,,,,,,1987,1994,,
atlanta,Askari Murtaza,askari murtaza,grant_only_company,startup,unknown,Atlanta,GA,30327-1044,False,True,False,False,0.0,1.0,150000.0,0.0,0.0,,,,,,,111111111,,4,2012,2012,,
