msa,source_form_d,source_sbir,source_nih,source_tto,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,name,name_norm,tier,entity_type,ls_subcategory,city,state,zip,industry,tagline,tto_source_name,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year,tto_location,url,priority_score,founded_year
atlanta,False,True,True,False,0.0,2.0,2397615.0,3.0,2397615.0,EXVADE BIOSCIENCE INC,exvade bioscience,grant_only_company,startup,biotech,ATLANTA,GA,30313-2439,Biotechnology,,,,MQ3GFMJ3LV85,118281631,,1.0,2023.0,2024.0,,,5,
atlanta,False,True,False,False,0.0,10.0,10339962.0,0.0,0.0,INLIGHTA BIOSCIENCES L.L.C.,inlighta biosciences l l c,grant_only_company,startup,biotech,MARIETTA,GA,30068-1641,Biotechnology,,,,KCSBM7ASMA34,078419511,,4.0,2014.0,2025.0,,,5,
atlanta,False,True,True,False,0.0,1.0,306607.0,1.0,306607.0,"KARIS BIO USA, INC.",karis bio usa,grant_only_company,startup,biotech,ATLANTA,GA,30345-3952,Biotechnology,,,,Q6LUFER5MEM3,,,2.0,2025.0,2025.0,,,5,
atlanta,False,True,True,False,0.0,8.0,6661262.0,10.0,6087796.0,"LENA BIOSCIENCES, INC.",lena biosciences,grant_only_company,startup,biotech,ATLANTA,GA,30332-0390,Biotechnology,,,,HVWSKPM6NUK3,827555181,https://www.lenabio.com,7.0,2009.0,2024.0,,,5,
atlanta,False,True,True,False,0.0,6.0,8832234.0,12.0,10635709.0,METACLIPSE THERAPEUTICS CORP,metaclipse therapeutics,grant_only_company,startup,pharma,ATLANTA,GA,30316-4700,Pharmaceuticals,,,,MU6JZBDZR8X1,967732384,http://metaclipse.com/,5.0,2013.0,2025.0,,,5,
atlanta,False,True,True,False,0.0,1.0,305320.0,1.0,305320.0,MOBIUS BIOTECH LLC,mobius biotech,grant_only_company,startup,biotech,MARIETTA,GA,30068-5313,Biotechnology,,,,SWX1NFV356L4,,,3.0,2025.0,2025.0,,,5,
atlanta,False,True,False,True,0.0,1.0,1218585.36,0.0,0.0,SLIP ROBOTICS INC.,slip robotics,grant_only_company,startup,medtech,Norcross,GA,30093-2229,Other Health Care,Slip Robotics is a stealth mode startup using robotic solutions to improve operating efficiency in warehousing and logistics.,engage_ventures,,UM5BCN7ELFF6,,www.sliprobotics.com,80.0,2026.0,2026.0,"Atlanta, GA",http://sliprobotics.com#new_tab,5,
atlanta,False,True,True,False,0.0,2.0,535022.0,2.0,535022.0,SOCIALRX INC,socialrx,grant_only_company,startup,pharma,ATLANTA,GA,30316-1311,Pharmaceuticals,,,,ZNQ8C5U8QMY9,,,8.0,2024.0,2025.0,,,5,
atlanta,True,False,False,False,3.0,0.0,0.0,0.0,0.0,ALIMERA SCIENCES INC,alimera sciences,operating_company,startup,pharma,ALPHARETTA,GA,30005,Pharmaceuticals,,,1267602.0,,,,,,,,,5,2003.0
atlanta,True,False,False,False,4.0,0.0,0.0,0.0,0.0,Accuitis Inc.,accuitis,operating_company,startup,biotech,CUMMING,GA,30041,Biotechnology,,,1634848.0,,,,,,,,,5,2011.0
