msa,quarter,industry,company,CIK,STREET1,city,state,zip,ENTITYTYPE,JURISDICTIONOFINC,ACCESSIONNUMBER
philadelphia,2015q2,Other Health Care,"Ella Health, Inc.",0001552439,"1025 ANDREW DRIVE, SUITE 170",west chester,PA,19380,Corporation,DELAWARE,0001552439-15-000001
philadelphia,2015q2,Pharmaceuticals,"Recro Pharma, Inc.",0001588972,490 LAPP ROAD,malvern,PA,19355,Corporation,PENNSYLVANIA,0001192482-15-000120
dallas,2015q2,Pharmaceuticals,ULURU Inc.,0001168220,4452 BELTWAY DRIVE,addison,TX,75001,Corporation,NEVADA,0001168220-15-000030
atlanta,2015q2,Other Health Care,"Cartiva, Inc.",0001539128,6120 WINDWARD PARKWAY,alpharetta,GA,30005,Corporation,DELAWARE,0001539128-15-000001
atlanta,2015q2,Biotechnology,"BIOCURITY HOLDINGS, INC.",0001639681,11340 LAKEFIELD DRIVE,johns creek,GA,30097,Corporation,DELAWARE,0001639681-15-000001
philadelphia,2015q2,Other Health Care,Healthjump Inc.,0001623656,"400 FRANKLIN AVENUE, SUITE 124",phoenixville,PA,19460,Corporation,DELAWARE,0000908662-15-000142
pittsburgh,2015q2,Biotechnology,Knopp Biosciences LLC,0001497598,2100 WHARTON STREET,pittsburgh,PA,15203,Limited Liability Company,DELAWARE,0000898432-15-000492
philadelphia,2015q2,Biotechnology,Hemoglobin Oxygen Therapeutics LLC,0001615647,674 SOUDER ROAD,souderton,PA,18964,Limited Liability Company,DELAWARE,0001615647-15-000002
atlanta,2015q2,Other Health Care,"ADCARE HEALTH SYSTEMS, INC",0001004724,1145 HEMBREE ROAD,roswell,GA,30076,Corporation,GEORGIA,0001004724-15-000045
philadelphia,2015q2,Pharmaceuticals,Immunome Inc.,0001472012,100 EAST LANCASTER AVENUE,wynnewood,PA,19096,Corporation,PENNSYLVANIA,0001472012-15-000001
pittsburgh,2015q2,Biotechnology,COGNITION THERAPEUTICS INC,0001455365,2403 SIDNEY STREET,pittsburgh,PA,15203,Corporation,DELAWARE,0001455365-15-000001
baltimore,2015q2,Other Health Care,"CLEAR GUIDE MEDICAL, LLC",0001579474,3600 Clipper Mill Road,baltimore,MD,21211,Limited Liability Company,MARYLAND,0001579474-15-000001
baltimore,2015q2,Other Health Care,Remedi SeniorCare Holding Corp,0001239030,"ONE OLYMPIC PLACE, SUITE 600",towson,MD,21204,Corporation,MARYLAND,0001239030-15-000001
philadelphia,2015q2,Other Health Care,"IndiPharm, Inc.",0001483943,CHESTERBROOK CORPORATE CENTER,wayne,PA,19087,Corporation,DELAWARE,0001483943-15-000002
atlanta,2015q2,Other Health Care,Medovex Corp.,0001591165,3279 Hardee Avenue,atlanta,GA,30341,Corporation,NEVADA,0001415889-15-001276
atlanta,2015q2,Other Health Care,"THERMALEVE, LLC",0001638031,14940 E. BLUFF ROAD,milton,GA,30004-3158,Limited Liability Company,GEORGIA,0001638031-15-000001
pittsburgh,2015q3,Other Health Care,"Treatspace, Inc.",0001651071,5877 COMMERCE STREET,pittsburgh,PA,15206,Corporation,DELAWARE,0001651071-15-000001
dallas,2015q3,Other Health Care,"Insight Labs, LLC",0001654166,610 COIT ROAD,plano,TX,75075,Limited Liability Company,COLORADO,0001654166-15-000001
philadelphia,2015q3,Other Health Care,"PhotoSonix Medical, Inc.",0001653289,23 BROOKLINE COURT,ambler,PA,19002,Corporation,DELAWARE,0001653289-15-000001
philadelphia,2015q3,Other Health Care,ReliefBand Technologies LLC,0001653228,130 GREENWOOD AVENUE,jenkintown,PA,19046,Limited Liability Company,DELAWARE,0001653228-15-000002
baltimore,2015q3,Other Health Care,"Integra ServiceConnect, LLC",0001648400,10055 RED RUN BOULEVARD,owings mills,MD,21117,Limited Liability Company,DELAWARE,0001648400-15-000002
atlanta,2015q3,Other Health Care,"American CareSource Holdings, Inc.",0001316645,"1170 PEACHTREE STREET, NE",atlanta,GA,30309,Corporation,DELAWARE,0001171843-15-005159
atlanta,2015q3,Other Health Care,"STRATACA SYSTEMS, LLC",0001653180,145 TRIPLE CROWN COURT,milton,GA,30004,Limited Liability Company,GEORGIA,0001653180-15-000002
philadelphia,2015q3,Pharmaceuticals,"Aclaris Therapeutics, Inc.",0001557746,101 Lindenwood Drive,malvern,PA,19355,Corporation,DELAWARE,0001557746-15-000001
dallas,2015q3,Pharmaceuticals,ULURU Inc.,0001168220,4452 BELTWAY DRIVE,addison,TX,75001,Corporation,NEVADA,0001168220-15-000087
pittsburgh,2015q3,Other Health Care,"Well Bridge Health, Inc.",0001652816,45 SOUTH 23RD STREET,pittsburgh,PA,15203,Corporation,PENNSYLVANIA,0001652816-15-000001
atlanta,2015q3,Other Health Care,"REACH Health, Inc.",0001500088,10745 WESTSIDE WAY,alpharetta,GA,30009,Corporation,DELAWARE,0001500088-15-000004
dallas,2015q3,Other Health Care,"ZipRad, LLC",0001652573,7750 N MacArthur Blvd,irving,TX,75063,Limited Liability Company,TEXAS,0001652573-15-000001
baltimore,2015q3,Biotechnology,"Breethe, Inc.",0001631734,1101 W. PRATT STREET,baltimore,MD,21201,Corporation,DELAWARE,0001631734-15-000003
dallas,2015q3,Other Health Care,"Clear Labs, LLC",0001652307,6930 WILDGROVE AVENUE,dallas,TX,75214,Limited Liability Company,TEXAS,0001652307-15-000001
philadelphia,2015q3,Pharmaceuticals,Aprecia Pharmaceuticals Co,0001299458,2010 CABOT BOULEVARD WEST,langhorne,PA,19047,Corporation,DELAWARE,0001299458-15-000002
dallas,2015q3,Other Health Care,"SBK HEALTHCARE SERVICES, INC.",0001623435,10000 N. Central Expressway,dallas,TX,75231,Corporation,DELAWARE,0001623435-15-000002
dallas,2015q3,Pharmaceuticals,"Encore Vision, Inc.",0001618596,"1120 SOUTH FREEWAY, SUITE 118",fort worth,TX,76104,Corporation,DELAWARE,0001618596-15-000002
dallas,2015q3,Other Health Care,"Absolute Pharmacy, LLC",0001618748,5710 LBJ FREEWAY,dallas,TX,75240,Limited Liability Company,TEXAS,0001618748-15-000001
baltimore,2015q3,Biotechnology,VACCINOGEN INC,0001453001,949 FELL STREET,baltimore,MD,21231,Corporation,MARYLAND,0001144204-15-051559
dallas,2015q3,Other Health Care,Full Spectrum Laboratories LLC,0001651544,101 E PARK BLVD STE 1005,plano,TX,75074,Limited Liability Company,TEXAS,0001651544-15-000001
pittsburgh,2015q3,Other Health Care,"Wright Therapy Products, Inc.",0001483094,103-B INTERNATIONAL DRIVE,oakdale,PA,15071,Corporation,PENNSYLVANIA,0001483094-15-000002
philadelphia,2015q3,Other Health Care,Healthjump Inc.,0001623656,"400 FRANKLIN AVENUE, SUITE 124",phoenixville,PA,19460,Corporation,DELAWARE,0000908662-15-000300
baltimore,2015q3,Biotechnology,VACCINOGEN INC,0001453001,949 FELL STREET,baltimore,MD,21231,Corporation,MARYLAND,0001144204-15-050967
baltimore,2015q3,Biotechnology,VACCINOGEN INC,0001453001,949 FELL STREET,baltimore,MD,21231,Corporation,MARYLAND,0001144204-15-050965
pittsburgh,2015q3,Biotechnology,"AbiliLife, Inc.",0001651121,6024 BROAD STREET,pittsburgh,PA,15206,Corporation,DELAWARE,0001651121-15-000001
baltimore,2015q3,Other Health Care,"Healthcare Interactive, Inc.",0001612708,3060 ROUTE 97,glenwood,MD,21738,Corporation,DELAWARE,0001612708-15-000001
baltimore,2015q3,Biotechnology,"Paragon Bioservices, Inc.",0001623394,801 W. BALTIMORE STREET,baltimore,MD,21201,Limited Liability Company,DELAWARE,0001014100-15-000020
philadelphia,2015q3,Other Health Care,"Ella Health, Inc.",0001552439,"1025 ANDREW DRIVE, SUITE 170",west chester,PA,19380,Corporation,DELAWARE,0001552439-15-000002
dallas,2015q3,Other Health Care,Dixie Surgical Products LLC,0001645439,5710 LBJ FREEWAY,dallas,TX,75240,Limited Liability Company,TEXAS,0001645439-15-000002
dallas,2015q3,Other Health Care,Charcoal Surgical Instruments LLC,0001645437,5710 LBJ FREEWAY,dallas,TX,75240,Limited Liability Company,TEXAS,0001645437-15-000002
philadelphia,2015q3,Biotechnology,"BioBots, Inc.",0001650661,3711 MARKET STREET,philadelphia,PA,19104,Corporation,DELAWARE,0001650661-15-000001
atlanta,2015q3,Pharmaceuticals,Havix Group LLC,0001650186,9488 Jackson Trail Road,hoschton,GA,30548,Limited Liability Company,GEORGIA,0001650186-15-000001
atlanta,2015q3,Pharmaceuticals,"ASSURED PHARMA, INC.",0001649887,1155 Mt Vernon Hwy,atlanta,GA,30328,Corporation,GEORGIA,0001649887-15-000002
dallas,2015q3,Other Health Care,"Calm Tea Management, LLC",0001621613,2609 SAGEBRUSH DRIVE,flower mound,TX,75028,Limited Liability Company,TEXAS,0001621613-15-000001
pittsburgh,2015q3,Other Health Care,"WELLIST PBC, INC.",0001640843,613 Berkshire Drive,pittsburgh,PA,15215,Corporation,DELAWARE,0001209191-15-064310
pittsburgh,2015q3,Other Health Care,"Wellist, LLC",0001617688,613 Berkshire Drive,pittsburgh,PA,15215,Limited Liability Company,PENNSYLVANIA,0001209191-15-064310
pittsburgh,2015q3,Biotechnology,Carmell Therapeutics Corp,0001517941,3636 Boulevard of the Allies,pittsburgh,PA,15213,Corporation,DELAWARE,0001517941-15-000001
philadelphia,2015q3,Other Health Care,PLYMOUTH MEETING AMBULATORY SURGICAL CENTER LLC,0001029748,625 RIDGE PIKE,conshohocken,PA,19428,Limited Liability Company,PENNSYLVANIA,0001029748-15-000003
atlanta,2015q3,Other Health Care,"MacuLogix, Inc.",0001554897,"1456 N. MORNINGSIDE DRIVE, NE",atlanta,GA,30306,Corporation,DELAWARE,0001554897-15-000002
atlanta,2015q3,Other Health Care,"MacuLogix, Inc.",0001554897,"1456 N. MORNINGSIDE DRIVE, NE",atlanta,GA,30306,Corporation,DELAWARE,0001554897-15-000001
baltimore,2015q3,Other Health Care,"WellDoc, Inc.",0001459113,1501 ST. PAUL STREET,baltimore,MD,21202,Corporation,DELAWARE,0001459113-15-000003
philadelphia,2015q3,Other Health Care,"HELIUS MEDICAL TECHNOLOGIES, INC.",0001610853,"SUITE 400, 41 UNIVERSITY DRIVE",newtown,PA,18940,Corporation,WYOMING,0001062993-15-004049
dallas,2015q3,Other Health Care,Dixie Surgical Products LLC,0001645439,5710 LBJ FREEWAY,dallas,TX,75240,Limited Liability Company,TEXAS,0001645439-15-000001
dallas,2015q3,Other Health Care,Charcoal Surgical Instruments LLC,0001645437,5710 LBJ FREEWAY,dallas,TX,75240,Limited Liability Company,TEXAS,0001645437-15-000001
